date,total_closed_pnl,avg_closed_pnl,total_trade_volume,trade_count,net_trade_size,index_value,classification,lag_index_value,lag_classification,pnl_per_trade,pnl_per_volume,is_greed,sentiment_change
2023-12-05,0.0,0.0,50005.82917,9,10.61479,75,Extreme Greed,63.0,Greed,0.0,0.0,1,12.0
2023-12-14,-205.43473700000007,-18.675885181818188,113203.34547,11,-3568.61479,72,Greed,75.0,Extreme Greed,-18.675885181818188,-0.001814740864301067,1,-3.0
2023-12-15,-24.632034,-12.316017,10609.956,2,3558.0,70,Greed,72.0,Greed,-12.316017,-0.0023215962441314555,1,-2.0
2023-12-16,0.0,0.0,15348.76138,3,39897.0,67,Greed,70.0,Greed,0.0,0.0,1,-3.0
2023-12-17,304.982785,21.78448464285714,116278.018081,14,-39897.00000000001,73,Greed,67.0,Greed,21.78448464285714,0.0026228756736079474,1,6.0
2023-12-18,0.0,0.0,31164.1856,2,14.306,65,Greed,73.0,Greed,0.0,0.0,1,-8.0
2023-12-19,1000.538612,66.70257413333334,91602.41239,15,-14.305999999996857,73,Greed,65.0,Greed,66.70257413333333,0.010922622951677048,1,8.0
2023-12-20,162.732282,9.040682333333333,141636.78283,18,0.0,74,Greed,73.0,Greed,9.040682333333333,0.0011489408241877389,1,1.0
2023-12-21,537.211402,10.963498,125233.97907,49,-1.1368683772161605e-13,70,Greed,74.0,Greed,10.963498000000001,0.0042896616875818,1,-4.0
2023-12-22,141.832675,14.1832675,88874.27747,10,2449.4,74,Greed,70.0,Greed,14.1832675,0.0015958799220379192,1,4.0
2023-12-23,146.936704,11.302823384615383,78438.24836,13,-2449.399999999994,70,Greed,74.0,Greed,11.302823384615383,0.0018732787520396891,1,-4.0
2023-12-24,1008.619956,25.862050153846155,402954.92766,39,-2.9103830456733704e-11,71,Greed,70.0,Greed,25.862050153846155,0.002503058994357404,1,1.0
2023-12-25,-245.081348,-81.69378266666666,59948.50502,3,0.0,73,Greed,71.0,Greed,-81.69378266666666,-0.004088197827756272,1,2.0
2023-12-27,-704.8892269999999,-25.174615249999995,171411.03608,28,0.0,73,Greed,73.0,Greed,-25.174615249999995,-0.004112274466802814,1,0.0
2023-12-28,-970.730876,-42.20569026086957,100117.24515,23,0.0,73,Greed,73.0,Greed,-42.20569026086957,-0.009695940739735785,1,0.0
2023-12-29,508.922143,10.17844286,569559.70558,50,21.72980000000007,65,Greed,73.0,Greed,10.17844286,0.0008935360735917038,1,-8.0
2023-12-30,354.998648,6.826897076923077,702550.20174,52,-21.72980000001553,68,Greed,65.0,Greed,6.826897076923077,0.0005053000442114712,1,3.0
2024-01-01,-129.53146,-7.196192222222223,264239.51261,18,0.0,65,Greed,68.0,Greed,-7.196192222222223,-0.0004902047340330205,1,-3.0
2024-01-02,783.979116,46.11641858823529,121348.729872,17,0.0,71,Greed,65.0,Greed,46.11641858823529,0.006460546532517893,1,6.0
2024-01-03,866.015507,12.925604582089552,394499.368374,67,0.0,70,Greed,71.0,Greed,12.925604582089552,0.0021952265996506874,1,-1.0
2024-01-04,-67.60364,-13.520728,99792.53588,5,0.0,68,Greed,70.0,Greed,-13.520728,-0.0006774418487700626,1,-2.0
2024-01-05,164.141565,2.486993409090909,1703942.66731,66,-1.4210854715202004e-14,72,Greed,68.0,Greed,2.486993409090909,9.633045063607036e-05,1,4.0
2024-01-06,135.58166400000002,6.16280290909091,298521.41284,22,0.0,70,Greed,72.0,Greed,6.16280290909091,0.00045417734932357565,1,-2.0
2024-01-07,-835.681235,-8.615270463917525,1048850.051251,97,8310.796709999995,71,Greed,70.0,Greed,-8.615270463917525,-0.0007967594929353856,1,1.0
