date,total_closed_pnl,avg_closed_pnl,total_trade_volume,trade_count,net_trade_size,index_value,classification
2023-05-01,0.0,0.0,476.99280999999996,3,0.25129999999999997,63,Greed
2023-12-05,0.0,0.0,50005.82917,9,10.61479,75,Extreme Greed
2023-12-14,-205.43473700000007,-18.675885181818188,113203.34547,11,-3568.61479,72,Greed
2023-12-15,-24.632033999999997,-12.316016999999999,10609.956,2,3558.0,70,Greed
2023-12-16,0.0,0.0,15348.76138,3,39897.0,67,Greed
2023-12-17,304.982785,21.78448464285714,116278.018081,14,-39897.00000000001,73,Greed
2023-12-18,0.0,0.0,31164.1856,2,14.306,65,Greed
2023-12-19,1000.5386120000001,66.70257413333334,91602.41239,15,-14.305999999996857,73,Greed
2023-12-20,162.732282,9.040682333333333,141636.78283,18,0.0,74,Greed
2023-12-21,537.211402,10.963498000000001,125233.97907,49,-1.1368683772161603e-13,70,Greed
2023-12-22,141.832675,14.1832675,88874.27747,10,2449.3999999999996,74,Greed
2023-12-23,146.936704,11.302823384615383,78438.24836,13,-2449.399999999994,70,Greed
2023-12-24,1008.619956,25.862050153846155,402954.92766,39,-2.9103830456733704e-11,71,Greed
2023-12-25,-245.081348,-81.69378266666666,59948.50502,3,0.0,73,Greed
2023-12-27,-704.8892269999999,-25.174615249999995,171411.03608,28,0.0,73,Greed
2023-12-28,-970.730876,-42.20569026086957,100117.24515,23,0.0,73,Greed
2023-12-29,508.92214299999995,10.178442859999999,569559.70558,50,21.72980000000007,65,Greed
2023-12-30,354.998648,6.826897076923077,702550.20174,52,-21.72980000001553,68,Greed
2024-01-01,-129.53146,-7.196192222222223,264239.51261,18,0.0,65,Greed
2024-01-02,783.979116,46.11641858823529,121348.72987200001,17,0.0,71,Greed
2024-01-03,866.015507,12.925604582089552,394499.36837399995,67,0.0,70,Greed
2024-01-04,-67.60364,-13.520728,99792.53588000001,5,0.0,68,Greed
2024-01-05,164.141565,2.486993409090909,1703942.66731,66,-1.4210854715202004e-14,72,Greed
2024-01-06,135.58166400000002,6.16280290909091,298521.41284,22,0.0,70,Greed
